entry_time,side,entry_px,exit_time,exit_px,exit_reason,pnl_pts,ORH,ORL,PivotLow,PivotHigh,A_distance,TP_mult_A,Date,n_used,P_used,T,slippage,cost_pts
2022-01-03 10:31:00,long,17510.9,2022-01-03 12:20:00,17538.2088125,TARGET,26.808812499999476,17478.6,17383.3,17319.65,17343.949999999997,27.808812499999984,1.0,2022-01-03,16,0.14,20,0.5,0.5
2022-01-04 14:38:00,long,17760.7,2022-01-04 14:59:00,17789.1835,TARGET,27.983499999998457,17715.45,17647.55,17514.975,17590.191666666666,28.983500000000017,1.0,2022-01-04,16,0.14,20,0.5,0.5
2022-01-05 12:20:00,long,17875.35,2022-01-05 12:52:00,17902.95395,TARGET,27.103950000000623,17829.65,17771.7,17710.574999999997,17780.458333333336,28.10394999999999,1.0,2022-01-05,20,0.14,20,0.5,0.5
2022-01-07 12:46:00,short,17711.8,2022-01-07 12:50:00,17735.98333333333,STOP,-24.683333333330665,17877.35,17787.7,17726.75,17735.48333333333,28.096600000000024,1.0,2022-01-07,20,0.14,20,0.5,0.5
2022-01-10 15:10:00,long,18002.0,2022-01-10 15:25:00,18009.9,EOD,7.400000000001455,17955.6,17879.15,17804.775,17817.558333333334,35.42880000000001,1.0,2022-01-10,30,0.16,20,0.5,0.5
2022-01-12 15:08:00,long,18222.85,2022-01-12 15:25:00,18204.35,EOD,-19.0,18184.6,18128.8,18022.825,18046.541666666668,32.65413333333332,1.0,2022-01-12,30,0.16,20,0.5,0.5
2022-01-14 13:53:00,long,18247.1,2022-01-14 14:24:00,18217.525,STOP,-30.07499999999709,18198.05,18119.65,18218.025,18246.208333333336,31.52213333333334,1.0,2022-01-14,30,0.16,20,0.5,0.5
2022-01-18 09:45:00,short,18249.4,2022-01-18 09:59:00,18220.37226666667,TARGET,28.527733333332435,18350.95,18320.1,18275.15,18298.949999999997,29.527733333333337,1.0,2022-01-18,30,0.16,20,0.5,0.5
2022-01-19 11:23:00,short,17956.55,2022-01-19 12:37:00,17912.2875,TARGET,43.76250000000073,18121.1,18020.7,18159.74166666667,18218.425000000003,44.762499999999996,1.0,2022-01-19,24,0.24,20,0.5,0.5
2022-01-20 11:26:00,short,17790.35,2022-01-20 13:24:00,17745.6695,TARGET,44.180499999998574,17943.7,17858.65,17962.066666666666,18003.0,45.18049999999999,1.0,2022-01-20,24,0.24,20,0.5,0.5
