Date,n,P,score_window
2022-01-03,16,0.14,267.2996041666702
2022-01-04,16,0.14,257.8819791666683
2022-01-05,20,0.14,249.42316666667102
2022-01-06,20,0.14,241.6927166666719
2022-01-07,20,0.14,241.6927166666719
2022-01-10,30,0.16,242.34426666665968
2022-01-11,30,0.16,184.12759999999616
2022-01-12,30,0.16,184.12759999999616
2022-01-13,30,0.14,213.60066666667262
2022-01-14,30,0.16,207.37759999999616
2022-01-17,30,0.16,140.85139999999956
2022-01-18,30,0.16,103.50926666666783
2022-01-19,24,0.24,105.22850000000471
2022-01-20,24,0.24,148.99100000000544
2022-01-21,24,0.24,193.17150000000402
2022-01-24,24,0.24,325.32150000000183
2022-01-25,24,0.24,308.08899999999994
2022-01-27,24,0.24,381.0139999999992
2022-01-28,22,0.18,388.4146969697031
2022-01-31,22,0.18,453.77303030303665
2022-02-01,22,0.18,411.37303030303883
2022-02-02,22,0.18,255.5293484848553
2022-02-03,22,0.18,225.24866666667367
2022-02-04,22,0.18,229.33221212121862
2022-02-07,22,0.18,229.33221212121862
2022-02-08,22,0.18,267.6404090909127
2022-02-09,22,0.18,302.07754545454736
2022-02-10,22,0.18,302.07754545454736
2022-02-11,22,0.18,344.36754545454824
2022-02-14,26,0.1,330.88628205128407
2022-02-15,26,0.1,363.28012820512595
2022-02-16,22,0.18,391.29781818181436
2022-02-17,26,0.1,371.4151923076897
2022-02-18,22,0.18,328.1136818181767
2022-02-21,22,0.18,298.3790909090858
2022-02-22,26,0.18,192.07076923076238
2022-02-23,30,0.18,329.0913999999939
2022-02-24,18,0.16,319.38277777777694
2022-02-25,26,0.22,348.88762820512056
2022-02-28,28,0.1,337.79416666666293
2022-03-02,18,0.16,411.5884444444455
2022-03-03,16,0.18,465.99139583332726
2022-03-04,16,0.18,519.024270833328
2022-03-08,14,0.1,383.77619047619737
2022-03-09,16,0.18,533.501999999995
2022-03-10,30,0.18,545.3203999999987
2022-03-11,18,0.28,763.0201111111055
2022-03-14,18,0.28,763.0201111111055
2022-03-15,12,0.26,879.302416666671
2022-03-16,12,0.26,961.9780000000046
2022-03-17,12,0.26,945.4280000000053
2022-03-21,12,0.26,859.3000833333372
2022-03-22,12,0.26,894.2000833333386
2022-03-23,12,0.26,966.7790000000041
2022-03-24,12,0.26,950.0873333333348
2022-03-25,12,0.26,988.6206666666676
2022-03-28,26,0.3,864.0937179487173
2022-03-29,26,0.3,865.9520512820473
2022-03-30,14,0.28,789.4256666666606
2022-03-31,14,0.28,888.1256666666613
2022-04-01,30,0.3,915.8536666666605
2022-04-04,30,0.3,996.00316666666
2022-04-05,30,0.3,874.2081666666618
2022-04-06,30,0.3,874.2081666666618
2022-04-07,30,0.3,565.091499999995
2022-04-08,30,0.3,478.4564999999948
2022-04-11,18,0.26,279.96466666666674
2022-04-12,18,0.26,279.96466666666674
2022-04-13,22,0.16,209.6838484848413
2022-04-18,22,0.16,185.31503030302702
2022-04-19,22,0.16,217.77975757575405
2022-04-20,14,0.18,210.89759523809698
2022-04-21,22,0.16,188.18484848484513
2022-04-22,22,0.16,174.10121212120794
2022-04-25,22,0.16,216.3428787878729
