Strategy,Parameters,Status
NIFTY_candle_5T_strike_ITM_side_CE_entry_09:25_exit_15:20_2024-01-01_2024-01-31,"['5T', -1, 'CE', '09:25', '15:20']",0
NIFTY_candle_5T_strike_ATM_side_CE_entry_09:25_exit_15:20_2024-01-01_2024-01-31,"['5T', 0, 'CE', '09:25', '15:20']",0
NIFTY_candle_5T_strike_OTM_side_CE_entry_09:25_exit_15:20_2024-01-01_2024-01-31,"['5T', 1, 'CE', '09:25', '15:20']",0
NIFTY_candle_5T_strike_OTM_side_CE_entry_09:25_exit_15:20_2024-01-01_2024-12-31,"['5T', 1, 'CE', '09:25', '15:20']",0
NIFTY_candle_5T_strike_ITM_side_CE_entry_09:25_exit_15:20_2024-01-01_2024-12-31,"['5T', -1, 'CE', '09:25', '15:20']",0
NIFTY_candle_5T_strike_ATM_side_CE_entry_09:25_exit_15:20_2024-01-01_2024-12-31,"['5T', 0, 'CE', '09:25', '15:20']",0
