entry_time,side,entry_px,exit_time,exit_px,exit_reason,pnl_pts,ORH,ORL,PivotLow,PivotHigh,A_distance,TP_mult_A,Date,n_used,P_used,T,slippage,cost_pts
2021-09-24 13:35:00,short,17846.0,2021-09-24 13:35:00,17797.341666666667,STOP,48.15833333333285,17947.65,17889.7,17745.225,17796.841666666667,42.232749999999925,1.5,2021-09-24,16,0.28,20,0.5,0.5
2021-09-27 10:48:00,short,17836.75,2021-09-27 12:55:00,17884.025,STOP,-47.775000000001455,17933.2,17891.75,17856.275,17883.525,41.509124999999955,1.5,2021-09-27,16,0.28,20,0.5,0.5
2021-09-28 11:19:00,short,17797.1,2021-09-28 11:54:00,17775.24875,TARGET,21.35124999999971,17912.85,17814.75,17859.833333333332,17873.2,14.900833333333303,1.5,2021-09-28,18,0.1,20,0.5,0.5
2021-09-29 13:19:00,long,17697.65,2021-09-29 13:19:00,17743.891666666663,STOP,45.74166666666133,17670.2,17608.15,17744.391666666663,17744.475,16.28274999999998,1.5,2021-09-29,20,0.1,20,0.5,0.5
2021-09-30 13:25:00,short,17626.05,2021-09-30 14:28:00,17602.60625,TARGET,22.943749999998545,17739.9,17658.45,17694.95,17707.81666666667,15.962499999999963,1.5,2021-09-30,20,0.1,20,0.5,0.5
2021-10-04 09:55:00,long,17688.25,2021-10-04 10:05:00,17715.301875,TARGET,26.55187500000102,17643.1,17581.35,17505.025,17515.708333333336,18.36791666666668,1.5,2021-10-04,12,0.1,20,0.5,0.5
2021-10-05 12:50:00,long,17737.8,2021-10-05 13:00:00,17765.294374999998,TARGET,26.9943749999984,17696.75,17640.9,17666.125,17686.075000000004,18.66291666666672,1.5,2021-10-05,12,0.1,20,0.5,0.5
2021-10-06 10:23:00,short,17801.2,2021-10-06 10:23:00,17793.191666666666,STOP,7.508333333335031,17884.6,17839.8,17737.175000000003,17792.691666666666,18.140000000000054,1.5,2021-10-06,12,0.1,20,0.5,0.5
2021-10-07 12:07:00,long,17845.75,2021-10-07 15:25:00,17789.55,EOD,-56.70000000000073,17820.35,17763.8,17664.458333333336,17752.074999999997,18.36208333333337,1.5,2021-10-07,12,0.1,20,0.5,0.5
2021-10-11 10:44:00,long,17997.9,2021-10-11 15:25:00,17937.9,EOD,-60.5,17925.5,17839.1,17890.63333333333,17891.1,50.6170000000001,1.5,2021-10-11,16,0.28,20,0.5,0.5
2021-10-13 12:27:00,long,18159.3,2021-10-13 15:25:00,18158.65,EOD,-1.1499999999978172,18099.15,18050.75,17936.800000000003,17979.26666666667,47.76000000000005,1.5,2021-10-13,26,0.3,20,0.5,0.5
2021-10-19 10:13:00,short,18445.8,2021-10-19 10:17:00,18494.725,STOP,-49.42499999999927,18604.45,18534.65,18481.675000000003,18494.225,39.37350000000006,1.5,2021-10-19,24,0.24,20,0.5,0.5
2021-10-20 13:52:00,short,18261.0,2021-10-20 15:25:00,18284.8,EOD,-24.299999999999272,18458.2,18326.95,18442.258333333335,18491.075,40.92600000000005,1.5,2021-10-20,24,0.24,20,0.5,0.5
2021-10-21 10:47:00,short,18184.5,2021-10-21 11:04:00,18130.231,TARGET,53.76900000000023,18384.2,18250.75,18300.808333333334,18333.824999999997,36.512666666666775,1.5,2021-10-21,12,0.22,20,0.5,0.5
2021-10-22 12:16:00,short,18144.5,2021-10-22 13:14:00,18085.648125,TARGET,58.35187500000029,18296.75,18204.2,18208.733333333337,18216.1,39.56791666666673,1.5,2021-10-22,12,0.22,20,0.5,0.5
2021-10-28 10:52:00,short,18037.7,2021-10-28 13:37:00,17971.643125000002,TARGET,65.5568749999984,18190.7,18103.4,18206.308333333334,18259.625,44.37125000000013,1.5,2021-10-28,12,0.22,20,0.5,0.5
2021-10-29 10:48:00,long,17901.95,2021-10-29 10:57:00,17888.224999999995,STOP,-14.22500000000582,17833.4,17613.1,17888.724999999995,17995.075,47.82525000000009,1.5,2021-10-29,12,0.22,20,0.5,0.5
2021-11-01 13:48:00,long,17902.25,2021-11-01 15:25:00,17944.2,EOD,41.45000000000073,17833.6,17697.1,17714.25833333333,17764.475,50.74116666666674,1.5,2021-11-01,12,0.22,20,0.5,0.5
2021-11-02 14:06:00,short,17892.8,2021-11-02 14:50:00,17905.5,STOP,-13.200000000000728,18012.25,17947.75,17825.6,17905.0,52.75691666666676,1.5,2021-11-02,12,0.22,20,0.5,0.5
2021-11-03 12:36:00,short,17874.35,2021-11-03 13:23:00,17793.993124999997,TARGET,79.85687500000131,17978.55,17935.15,17904.541666666668,17929.925,53.90458333333347,1.5,2021-11-03,12,0.22,20,0.5,0.5
2021-11-08 14:11:00,long,18069.65,2021-11-08 15:25:00,18083.15,EOD,13.0,18011.55,17837.7,17841.75,17873.35,56.34200000000008,1.5,2021-11-08,12,0.22,20,0.5,0.5
2021-11-10 13:57:00,long,18039.7,2021-11-10 13:57:00,18047.324999999997,STOP,7.124999999996362,17968.2,17915.55,18047.824999999997,18050.841666666667,54.61041666666674,1.5,2021-11-10,12,0.22,20,0.5,0.5
2021-11-11 10:36:00,short,17841.3,2021-11-11 15:25:00,17893.1,EOD,-52.29999999999927,17971.35,17910.55,17988.125,18004.808333333334,51.12800000000005,1.5,2021-11-11,12,0.22,20,0.5,0.5
2021-11-12 13:48:00,long,18063.7,2021-11-12 15:25:00,18106.4,EOD,42.20000000000073,17998.65,17943.2,17884.775,17889.99166666667,49.170916666666656,1.5,2021-11-12,12,0.22,20,0.5,0.5
2021-11-16 14:31:00,short,18001.45,2021-11-16 15:25:00,17976.9,EOD,24.049999999999272,18132.65,18063.5,18114.675000000003,18140.725,24.19585714285718,1.5,2021-11-16,28,0.12,20,0.5,0.5
2021-11-17 10:32:00,long,18004.05,2021-11-17 10:32:00,18001.675000000003,STOP,-2.874999999996362,17969.5,17906.6,18002.175000000003,18053.725,24.145714285714316,1.5,2021-11-17,28,0.12,20,0.5,0.5
2021-11-18 10:17:00,short,17788.1,2021-11-18 10:21:00,17752.704142857143,TARGET,34.895857142855675,17945.6,17840.8,17911.25833333333,17951.475,23.930571428571472,1.5,2021-11-18,28,0.12,20,0.5,0.5
2021-11-22 11:06:00,short,17555.35,2021-11-22 12:03:00,17515.70685,TARGET,39.14314999999988,17805.25,17611.35,17777.850000000002,17817.05,26.762100000000036,1.5,2021-11-22,20,0.12,20,0.5,0.5
