Date,vix,Position,Action,CE_Time,PE_Time,Index Value,CE_OTM,PE_OTM,Exit,ExpiryDate,DaysToExpiry,CE_OTM_Premium,PE_OTM_Premium,CE_Stoploss,PE_Stoploss,CE_OTM_New_Premium,PE_OTM_New_Premium,CE_Stoploss,CE_Exit_Reason,PE_Stoploss,PE_Exit_Reason,CE High Value,PE High Value,Premium
2023-12-14,11.86,1,Short,09:25:00,09:25:00,21103.25,21150,21000,,2023-12-14,0,13.2,7.3,1,0,,6.75,,,,,,,20.5
2023-12-14,11.86,0,Long,09:26:00,10:12:00,21103.25,21150,21000,,2023-12-14,0,19.404,2.75,1,0,,,18.48,Initial Stoploss Exit - Exiting at 5pt above SL,0,Exiting at target,22.8,3.25,-22.154
2024-04-04,11.25,1,Short,09:25:00,09:25:00,22545.5,22700,22350,,2024-04-04,0,7.0,10.65,0,1,7.1,,,,,,,,17.65
2024-04-04,11.25,0,Long,10:13:00,09:29:00,22545.5,22700,22350,,2024-04-04,0,2.5,15.6555,0,1,,,0,Exiting at target,14.91,Initial Stoploss Exit - Exiting at 5pt above SL,2.95,16.6,-18.1555
2024-04-10,11.29,1,Short,09:25:00,09:25:00,22705.4,22850,22500,,2024-04-10,0,8.55,8.95,1,0,,7.8,,,,,,,17.5
2024-04-10,11.29,0,Long,09:34:00,11:00:00,22705.4,22850,22500,,2024-04-10,0,12.0,3.45,1,0,,,11.97,Initial Stoploss Exit - Exiting at High,0,Exiting at target,12.0,4.05,-15.45
2024-04-25,10.7,1,Short,09:25:00,09:25:00,22325.15,22500,22150,,2024-04-25,0,9.75,8.75,1,0,,8.7,,,,,,,18.5
2024-04-25,10.7,0,Long,09:26:00,10:12:00,22325.15,22500,22150,,2024-04-25,0,14.0,3.45,1,0,,,13.65,Initial Stoploss Exit - Exiting at High,0,Exiting at target,14.0,3.85,-17.45
2023-06-01,11.72,1,Short,09:25:00,09:25:00,18538.95,18600,18450,,2023-06-01,0,14.55,9.05,1,0,,5.95,,,,,,,23.6
2023-06-01,11.72,0,Long,09:42:00,10:38:00,18538.95,18600,18450,,2023-06-01,0,21.3885,3.5,1,0,,,20.37,Initial Stoploss Exit - Exiting at 5pt above SL,0,Exiting at target,22.6,3.75,-24.8885
2023-06-08,11.35,1,Short,09:25:00,09:25:00,18739.85,18800,18650,,2023-06-08,0,11.15,8.85,1,0,,7.7,,,,,,,20.0
2023-06-08,11.35,0,Long,09:52:00,10:39:00,18739.85,18800,18650,,2023-06-08,0,16.3905,3.3,1,0,,,15.61,Initial Stoploss Exit - Exiting at 5pt above SL,0,Exiting at target,18.75,3.7,-19.6905
