Date,n,P,score_window
2023-01-02,12,0.3,385.5945833333317
2023-01-03,12,0.3,385.5945833333317
2023-01-04,12,0.3,385.5945833333317
2023-01-05,12,0.3,458.3120833333305
2023-01-06,12,0.3,519.4158333333289
2023-01-09,12,0.3,540.6933333333291
2023-01-10,12,0.3,512.5933333333342
2023-01-11,12,0.3,559.9420833333352
2023-01-12,12,0.3,559.9420833333352
2023-01-13,12,0.3,575.513333333336
2023-01-16,12,0.3,630.7908333333362
2023-01-17,12,0.3,552.2341666666689
2023-01-18,12,0.3,553.8341666666674
2023-01-19,12,0.3,541.7258333333302
2023-01-20,12,0.3,490.8258333333288
2023-01-23,16,0.2,441.62500000000364
2023-01-24,16,0.2,406.66125000000466
2023-01-25,16,0.2,398.33625000000393
2023-01-27,16,0.2,432.5493750000023
2023-01-30,16,0.2,430.71000000000276
2023-01-31,16,0.2,435.6600000000035
2023-02-01,16,0.2,435.6100000000006
2023-02-02,22,0.16,398.2728181818202
2023-02-03,22,0.16,370.457181818183
2023-02-06,22,0.16,341.34727272727105
2023-02-07,22,0.16,311.8163636363606
2023-02-08,22,0.16,315.94836363636205
2023-02-09,22,0.16,280.8009090909072
2023-02-10,22,0.16,280.8009090909072
2023-02-13,22,0.16,249.65327272727154
2023-02-14,26,0.16,249.88599999999497
2023-02-15,14,0.14,260.81299999999464
2023-02-16,14,0.14,266.3634999999922
2023-02-17,14,0.14,239.83799999999246
2023-02-20,26,0.16,219.53646153845693
2023-02-21,26,0.16,251.4003076923036
2023-02-22,26,0.16,237.6503076923036
2023-02-23,26,0.16,259.4317692307668
2023-02-24,26,0.16,229.8062307692271
2023-02-27,22,0.16,232.5257272727249
2023-02-28,26,0.1,189.85891025642195
2023-03-01,26,0.1,208.36544871795923
2023-03-02,22,0.2,285.5677272727262
2023-03-03,22,0.2,289.0677272727262
2023-03-06,22,0.2,282.0645454545447
2023-03-08,22,0.2,282.0645454545447
2023-03-09,26,0.22,254.9991538461545
2023-03-10,26,0.22,312.8578461538491
2023-03-13,26,0.22,312.8578461538491
2023-03-14,28,0.22,351.1666428571443
2023-03-15,28,0.22,406.2434285714262
2023-03-16,12,0.26,360.89258333333055
2023-03-17,14,0.3,311.81571428570896
2023-03-20,12,0.26,327.1079166666568
2023-03-21,30,0.22,338.6506333333309
2023-03-22,28,0.24,321.69804761904743
2023-03-23,28,0.24,321.69804761904743
2023-03-24,28,0.24,270.649047619052
2023-03-27,28,0.24,263.19904761905127
2023-03-28,22,0.14,153.7329393939399
2023-03-29,18,0.14,273.5395000000026
2023-03-31,18,0.14,277.11611111111415
2023-04-03,22,0.14,291.22557575757673
2023-04-05,22,0.14,281.17557575757746
2023-04-06,18,0.14,281.0896111111142
2023-04-10,18,0.14,306.5395000000026
2023-04-11,28,0.14,223.14233333333686
2023-04-12,18,0.14,200.35405555555553
2023-04-13,22,0.14,214.2189242424247
2023-04-17,22,0.14,125.42218181817952
2023-04-18,22,0.18,32.667454545458895
2023-04-19,20,0.18,39.4658000000054
2023-04-20,16,0.2,90.40166666666482
2023-04-21,16,0.2,39.15166666666846
2023-04-24,16,0.2,28.142291666667006
2023-04-25,16,0.2,33.24229166666555
2023-04-26,16,0.2,0.19229166666627862
2023-04-27,16,0.2,34.042291666661185
2023-04-28,16,0.2,65.06916666666439
2023-05-02,16,0.2,218.57937499999753
2023-05-03,16,0.2,228.1293749999968
2023-05-04,16,0.2,205.67937499999607
2023-05-05,16,0.2,190.41187499999796
2023-05-08,14,0.26,177.40602380952623
2023-05-09,14,0.26,173.60130952381223
2023-05-10,14,0.26,129.64359523809617
2023-05-11,18,0.3,59.6608333333279
