Date,n,P,score_window
2025-01-01,24,0.3,104.56000000000495
2025-01-02,20,0.28,109.1151666666774
2025-01-03,20,0.28,177.99196666667922
2025-01-06,16,0.3,253.85156250000364
2025-01-07,16,0.3,335.1106250000048
2025-01-08,16,0.3,335.1106250000048
2025-01-09,16,0.3,163.41062500000407
2025-01-10,16,0.3,163.41062500000407
2025-01-13,16,0.3,163.41062500000407
2025-01-14,28,0.1,138.38190476190357
2025-01-15,28,0.1,109.6199404761901
2025-01-16,28,0.1,82.00476190476184
2025-01-17,28,0.1,122.97404761904545
2025-01-20,28,0.1,25.124047619046905
2025-01-21,30,0.1,25.2300000000032
2025-01-22,30,0.1,176.24666666666963
2025-01-23,30,0.1,173.53250000000116
2025-01-24,28,0.1,171.26601190475776
2025-01-27,30,0.1,285.919833333337
2025-01-28,30,0.1,285.4568333333373
2025-01-29,30,0.1,429.2131666666719
2025-01-30,30,0.1,427.81733333333614
2025-01-31,30,0.1,426.02350000000297
2025-02-03,30,0.1,423.4151666666694
2025-02-04,28,0.1,397.5395833333314
2025-02-05,28,0.1,306.0395833333314
2025-02-06,30,0.1,321.15400000000227
2025-02-07,28,0.1,319.15309523809265
2025-02-10,28,0.12,183.0586666666568
2025-02-11,30,0.16,152.94480000001204
2025-02-12,30,0.16,190.72293333334528
2025-02-13,30,0.16,229.4290666666784
2025-02-14,30,0.16,268.5957333333463
2025-02-17,30,0.16,402.1258666666763
2025-02-18,30,0.16,446.07586666667703
2025-02-19,30,0.16,408.2492000000093
2025-02-20,18,0.18,455.29633333333186
2025-02-21,18,0.18,409.98033333333296
2025-02-24,28,0.12,512.8659999999982
2025-02-25,28,0.12,510.94321428571493
2025-02-27,28,0.12,482.1285714285732
2025-02-28,18,0.18,539.7128333333276
2025-03-03,18,0.18,572.4368333333296
2025-03-04,18,0.18,575.0938333333324
2025-03-05,18,0.18,603.0188333333317
2025-03-06,18,0.18,604.9863333333342
2025-03-07,18,0.18,584.3030000000035
2025-03-10,18,0.18,461.546500000004
2025-03-11,16,0.1,427.5082291666695
2025-03-12,16,0.1,477.7689583333304
2025-03-13,16,0.1,474.70489583333256
2025-03-17,16,0.1,412.1187499999978
2025-03-18,16,0.24,389.46416666665755
2025-03-19,16,0.1,384.55906249999316
2025-03-20,16,0.24,354.12116666666043
2025-03-21,16,0.24,403.39216666666107
2025-03-24,14,0.24,396.41580952380536
2025-03-25,14,0.24,449.83152380952015
2025-03-26,16,0.1,327.3895833333263
2025-03-27,16,0.1,325.8592708333272
2025-03-28,16,0.1,304.3092708333279
2025-04-01,16,0.1,338.1692708333285
2025-04-02,16,0.1,339.0445833333288
2025-04-03,16,0.1,310.1267708333289
2025-04-04,16,0.1,261.70177083332965
2025-04-07,16,0.1,261.99145833333023
2025-04-08,16,0.1,239.57583333332877
2025-04-09,16,0.1,467.73187499999403
2025-04-11,16,0.1,447.00437499999316
2025-04-15,16,0.1,400.2164583333324
2025-04-16,16,0.1,380.4461458333317
2025-04-17,16,0.1,444.7772916666654
2025-04-21,16,0.1,470.09666666666453
2025-04-22,16,0.1,477.8641666666663
2025-04-23,16,0.1,499.91416666666555
2025-04-24,16,0.1,508.9179166666654
2025-04-25,16,0.1,488.3763541666667
2025-04-28,16,0.1,492.80760416666817
2025-04-29,18,0.14,617.779833333334
2025-04-30,18,0.14,620.1166111111161
2025-05-02,18,0.14,644.9666111111146
2025-05-05,30,0.28,615.9621333333344
2025-05-06,18,0.14,582.2333333333372
2025-05-07,18,0.14,582.9333333333379
2025-05-08,18,0.14,582.9333333333379
2025-05-09,18,0.14,585.3740000000034
2025-05-12,18,0.14,585.3740000000034
2025-05-13,18,0.14,383.9473333333408
2025-05-14,18,0.14,419.60011111111817
2025-05-15,12,0.28,470.1508333333368
2025-05-16,12,0.28,542.1736666666693
2025-05-19,12,0.28,531.7236666666686
2025-05-20,12,0.28,459.4780000000028
2025-05-21,28,0.3,464.599285714281
2025-05-22,18,0.22,485.85616666666465
2025-05-23,18,0.22,460.9061666666639
2025-05-26,18,0.22,433.7061666666632
2025-05-27,18,0.22,375.7308888888838
2025-05-28,18,0.22,314.91027777777344
2025-05-29,18,0.22,314.91027777777344
2025-05-30,30,0.18,236.2908999999927
2025-06-02,30,0.18,236.2908999999927
2025-06-03,30,0.18,236.2908999999927
2025-06-04,28,0.18,233.4752142857069
2025-06-05,28,0.18,233.4752142857069
2025-06-06,28,0.18,234.0978214285642
2025-06-09,28,0.18,279.2652499999931
2025-06-10,28,0.18,233.66999999999462
2025-06-11,28,0.18,186.26735714285314
2025-06-12,18,0.14,124.8617777777763
2025-06-13,18,0.14,116.88255555555224
