entry_time,side,entry_px,exit_time,exit_px,exit_reason,pnl_pts,ORH,ORL,PivotLow,PivotHigh,A_distance,TP_mult_A,Date,n_used,P_used,T,slippage,cost_pts
2021-09-24 13:35:00,short,17846.0,2021-09-24 13:35:00,17797.341666666667,STOP,48.15833333333285,17947.65,17889.7,17745.225,17796.841666666667,42.232749999999925,1.2,2021-09-24,16,0.28,20,0.5,0.5
2021-09-27 10:48:00,short,17836.75,2021-09-27 12:55:00,17884.025,STOP,-47.775000000001455,17933.2,17891.75,17856.275,17883.525,41.509124999999955,1.2,2021-09-27,16,0.28,20,0.5,0.5
2021-09-28 12:02:00,short,17737.55,2021-09-28 12:22:00,17689.18825,TARGET,47.86175000000003,17912.85,17814.75,17859.833333333332,17873.2,40.718124999999944,1.2,2021-09-28,16,0.28,20,0.5,0.5
2021-09-29 14:19:00,long,17754.9,2021-09-29 14:19:00,17743.891666666663,STOP,-11.508333333338669,17670.2,17608.15,17744.391666666663,17744.475,44.372999999999976,1.2,2021-09-29,16,0.28,20,0.5,0.5
2021-09-30 13:25:00,short,17626.05,2021-09-30 14:28:00,17607.395,TARGET,18.154999999998836,17739.9,17658.45,17694.95,17707.81666666667,15.962499999999963,1.2,2021-09-30,20,0.1,20,0.5,0.5
2021-10-04 09:55:00,long,17688.25,2021-10-04 10:00:00,17709.7915,TARGET,21.04149999999936,17643.1,17581.35,17505.025,17515.708333333336,18.36791666666668,1.2,2021-10-04,12,0.1,20,0.5,0.5
2021-10-05 12:50:00,long,17737.8,2021-10-05 12:58:00,17759.695499999998,TARGET,21.39549999999872,17696.75,17640.9,17666.125,17686.075000000004,18.66291666666672,1.2,2021-10-05,12,0.1,20,0.5,0.5
2021-10-06 10:23:00,short,17801.2,2021-10-06 10:23:00,17793.191666666666,STOP,7.508333333335031,17884.6,17839.8,17737.175000000003,17792.691666666666,21.768000000000065,1.2,2021-10-06,12,0.12,20,0.5,0.5
2021-10-07 12:07:00,long,17845.75,2021-10-07 15:25:00,17789.55,EOD,-56.70000000000073,17820.35,17763.8,17664.458333333336,17752.074999999997,18.36208333333337,1.2,2021-10-07,12,0.1,20,0.5,0.5
2021-10-08 10:33:00,long,17934.6,2021-10-08 12:15:00,17854.75,STOP,-80.34999999999854,17892.5,17855.25,17796.925,17810.675,18.111428571428615,1.2,2021-10-08,14,0.1,20,0.5,0.5
2021-10-11 10:44:00,long,17997.9,2021-10-11 15:25:00,17937.9,EOD,-60.5,17925.5,17839.1,17890.63333333333,17891.1,50.6170000000001,1.2,2021-10-11,16,0.28,20,0.5,0.5
2021-10-13 12:27:00,long,18159.3,2021-10-13 15:25:00,18158.65,EOD,-1.1499999999978172,18099.15,18050.75,17936.800000000003,17979.26666666667,47.76000000000005,1.2,2021-10-13,26,0.3,20,0.5,0.5
2021-10-19 10:12:00,short,18443.55,2021-10-19 10:12:00,18416.6024,TARGET,26.44759999999951,18604.45,18534.65,18481.675000000003,18494.225,22.873000000000065,1.2,2021-10-19,14,0.14,20,0.5,0.5
2021-10-20 13:41:00,short,18289.65,2021-10-20 13:49:00,18264.0224,TARGET,25.127599999999802,18458.2,18326.95,18442.258333333335,18491.075,21.773000000000067,1.2,2021-10-20,14,0.14,20,0.5,0.5
2021-10-21 10:42:00,short,18199.5,2021-10-21 10:54:00,18168.1344,TARGET,30.865600000000995,18384.2,18250.75,18300.808333333334,18333.824999999997,26.554666666666744,1.2,2021-10-21,12,0.16,20,0.5,0.5
2021-10-22 12:27:00,short,18154.5,2021-10-22 13:01:00,18102.2264,TARGET,51.77360000000044,18296.75,18204.2,18208.733333333337,18216.1,43.9780000000001,1.2,2021-10-22,24,0.24,20,0.5,0.5
2021-10-28 10:52:00,short,18037.7,2021-10-28 13:32:00,17984.437,TARGET,52.76299999999901,18190.7,18103.4,18206.308333333334,18259.625,44.80250000000011,1.2,2021-10-28,24,0.24,20,0.5,0.5
2021-10-29 10:48:00,long,17901.95,2021-10-29 10:57:00,17888.224999999995,STOP,-14.22500000000582,17833.4,17613.1,17888.724999999995,17995.075,46.74150000000009,1.2,2021-10-29,24,0.24,20,0.5,0.5
2021-11-01 13:48:00,long,17902.25,2021-11-01 15:25:00,17944.2,EOD,41.45000000000073,17833.6,17697.1,17714.25833333333,17764.475,48.486500000000085,1.2,2021-11-01,24,0.24,20,0.5,0.5
2021-11-02 10:44:00,short,17896.65,2021-11-02 10:50:00,17905.5,STOP,-9.349999999998545,18012.25,17947.75,17825.6,17905.0,49.6505000000001,1.2,2021-11-02,24,0.24,20,0.5,0.5
2021-11-03 12:35:00,short,17869.3,2021-11-03 13:14:00,17812.2846,TARGET,56.51540000000023,17978.55,17935.15,17904.541666666668,17929.925,47.92950000000012,1.2,2021-11-03,24,0.24,20,0.5,0.5
2021-11-08 14:10:00,long,18073.7,2021-11-08 15:25:00,18083.15,EOD,8.950000000000728,18011.55,17837.7,17841.75,17873.35,48.50150000000012,1.2,2021-11-08,24,0.24,20,0.5,0.5
2021-11-10 13:53:00,long,18042.8,2021-11-10 13:53:00,18047.324999999997,STOP,4.024999999997817,17968.2,17915.55,18047.824999999997,18050.841666666667,49.70350000000009,1.2,2021-11-10,24,0.24,20,0.5,0.5
2021-11-11 10:36:00,short,17841.3,2021-11-11 15:25:00,17893.1,EOD,-52.29999999999927,17971.35,17910.55,17988.125,18004.808333333334,49.470500000000065,1.2,2021-11-11,24,0.24,20,0.5,0.5
2021-11-12 13:48:00,long,18063.7,2021-11-12 14:51:00,18122.3318,TARGET,58.1317999999992,17998.65,17943.2,17884.775,17889.99166666667,49.27650000000005,1.2,2021-11-12,24,0.24,20,0.5,0.5
2021-11-16 14:31:00,short,18001.45,2021-11-16 15:25:00,17976.9,EOD,24.049999999999272,18132.65,18063.5,18114.675000000003,18140.725,25.978200000000026,1.2,2021-11-16,20,0.12,20,0.5,0.5
2021-11-17 10:32:00,long,18004.05,2021-11-17 10:32:00,18001.675000000003,STOP,-2.874999999996362,17969.5,17906.6,18002.175000000003,18053.725,26.313000000000045,1.2,2021-11-17,20,0.12,20,0.5,0.5
2021-11-18 10:18:00,short,17775.8,2021-11-18 10:23:00,17744.404,TARGET,30.89600000000064,17945.6,17840.8,17911.25833333333,17951.475,26.580000000000044,1.2,2021-11-18,20,0.12,20,0.5,0.5
2021-11-22 11:48:00,short,17551.9,2021-11-22 12:06:00,17494.980600000003,TARGET,56.41939999999886,17805.25,17611.35,17777.850000000002,17817.05,47.849500000000084,1.2,2021-11-22,22,0.22,20,0.5,0.5
2021-11-23 11:39:00,long,17437.3,2021-11-23 11:39:00,17474.949999999997,STOP,37.14999999999782,17363.05,17216.1,17475.449999999997,17542.85,65.79865384615391,1.2,2021-11-23,26,0.3,20,0.5,0.5
2021-11-24 15:13:00,short,17420.1,2021-11-24 15:25:00,17386.489279999998,TARGET,33.11072000000058,17572.35,17485.05,17384.9,17448.933333333334,28.42560000000003,1.2,2021-11-24,20,0.12,20,0.5,0.5
2021-11-25 11:33:00,long,17497.65,2021-11-25 12:12:00,17530.85032,TARGET,32.70031999999992,17454.0,17375.05,17415.15,17489.15,28.08360000000001,1.2,2021-11-25,20,0.12,20,0.5,0.5
2021-11-26 10:28:00,short,17164.65,2021-11-26 10:54:00,17122.0508,TARGET,42.099200000000565,17355.4,17272.0,17458.025,17521.341666666667,35.915999999999976,1.2,2021-11-26,14,0.16,20,0.5,0.5
2021-11-29 11:33:00,long,17141.7,2021-11-29 13:01:00,17063.950000000004,STOP,-78.24999999999636,17068.8,16782.4,17064.450000000004,17170.550000000003,42.3675,1.2,2021-11-29,18,0.18,20,0.5,0.5
2021-11-30 10:29:00,long,17308.25,2021-11-30 11:35:00,17050.55,STOP,-258.2000000000007,17241.35,17051.05,16971.550000000003,17025.716666666667,34.08149999999998,1.2,2021-11-30,14,0.14,20,0.5,0.5
2021-12-02 11:24:00,long,17316.55,2021-12-02 14:30:00,17346.257214285713,TARGET,29.207214285714144,17264.45,17149.3,17138.65,17160.949999999997,25.17267857142858,1.2,2021-12-02,28,0.1,20,0.5,0.5
2021-12-03 10:05:00,short,17375.6,2021-12-03 10:05:00,17367.074999999997,STOP,8.025000000001455,17489.8,17415.9,17284.824999999997,17366.574999999997,25.251607142857146,1.2,2021-12-03,28,0.1,20,0.5,0.5
2021-12-06 11:32:00,short,17067.95,2021-12-06 12:21:00,17037.808,TARGET,29.641999999999825,17216.75,17115.9,17244.400000000005,17335.3,25.534999999999993,1.2,2021-12-06,24,0.1,20,0.5,0.5
2021-12-07 10:05:00,long,17091.2,2021-12-07 10:38:00,17121.011000000002,TARGET,29.311000000001513,17058.9,16987.75,16957.341666666667,17054.225,25.25916666666666,1.2,2021-12-07,24,0.1,20,0.5,0.5
2021-12-09 10:34:00,short,17396.3,2021-12-09 11:04:00,17444.29166666667,STOP,-48.491666666672245,17543.25,17423.2,17396.775,17443.79166666667,24.75833333333332,1.2,2021-12-09,24,0.1,20,0.5,0.5
2021-12-13 12:29:00,short,17454.05,2021-12-13 13:58:00,17365.7356,TARGET,87.8143999999993,17639.5,17600.75,17469.8,17487.733333333334,74.01199999999992,1.2,2021-12-13,14,0.28,20,0.5,0.5
2021-12-16 14:43:00,short,17193.15,2021-12-16 15:23:00,17272.2,STOP,-79.54999999999927,17379.35,17282.9,17232.966666666664,17271.7,70.40799999999997,1.2,2021-12-16,14,0.28,20,0.5,0.5
2021-12-17 10:42:00,short,17031.3,2021-12-17 15:25:00,16989.4,EOD,41.39999999999782,17298.15,17139.6,17276.35,17282.15,69.81255555555546,1.2,2021-12-17,18,0.28,20,0.5,0.5
2021-12-20 11:34:00,short,16548.4,2021-12-20 12:49:00,16465.235066666668,TARGET,82.66493333333347,16840.1,16653.15,17036.700000000004,17132.300000000003,69.72077777777766,1.2,2021-12-20,18,0.28,20,0.5,0.5
2021-12-21 11:56:00,long,16913.8,2021-12-21 14:33:00,16722.45,STOP,-191.84999999999854,16839.45,16722.95,16624.516666666663,16625.15,72.94077777777767,1.2,2021-12-21,18,0.28,20,0.5,0.5
2021-12-24 10:10:00,short,16935.95,2021-12-24 14:47:00,17067.6,STOP,-132.14999999999782,17155.6,17042.7,17055.86666666667,17067.1,65.79299999999999,1.2,2021-12-24,18,0.28,20,0.5,0.5
2021-12-27 10:38:00,long,17000.65,2021-12-27 10:38:00,17013.0,STOP,11.849999999998545,16960.25,16833.2,17013.5,17032.6,22.890312500000007,1.2,2021-12-27,16,0.1,20,0.5,0.5
2021-12-30 10:30:00,long,17258.6,2021-12-30 15:00:00,17198.95,STOP,-60.14999999999782,17222.9,17146.35,17199.45,17233.45,28.301769230769192,1.2,2021-12-30,26,0.12,20,0.5,0.5
2021-12-31 12:46:00,long,17385.25,2021-12-31 15:25:00,17355.6,EOD,-30.150000000001455,17339.3,17238.5,17205.199999999997,17207.5,27.816230769230746,1.2,2021-12-31,26,0.12,20,0.5,0.5
2022-01-03 10:31:00,long,17510.9,2022-01-03 12:20:00,17538.5396,TARGET,27.13959999999861,17478.6,17383.3,17319.65,17343.949999999997,23.449666666666644,1.2,2022-01-03,18,0.12,20,0.5,0.5
