Date,n,P,score_window
2021-09-24,16,0.28,207.8018999999913
2021-09-27,16,0.28,255.96023333332414
2021-09-28,16,0.28,210.3352333333205
2021-09-29,16,0.28,212.89198333332024
2021-09-30,20,0.1,239.66796666667142
2021-10-01,12,0.1,326.5696666666663
2021-10-04,12,0.1,309.4146666666675
2021-10-05,12,0.1,299.42283333333035
2021-10-06,12,0.12,282.1651333333284
2021-10-07,12,0.1,372.6516666666648
2021-10-08,14,0.1,299.89523809524326
2021-10-11,16,0.28,295.33496666664723
2021-10-12,26,0.3,241.9425897435649
2021-10-13,26,0.3,241.9425897435649
2021-10-14,26,0.3,192.03297435895
2021-10-18,26,0.3,192.73297435895074
2021-10-19,14,0.14,242.16746666665858
2021-10-20,14,0.14,243.78173333332597
2021-10-21,12,0.16,340.6591333333272
2021-10-22,24,0.24,386.56199999998717
2021-10-25,24,0.24,395.8949999999859
2021-10-26,24,0.24,347.73666666665304
2021-10-27,24,0.24,401.31166666665376
2021-10-28,24,0.24,359.23226666665505
2021-10-29,24,0.24,380.803599999992
2021-11-01,24,0.24,360.8285999999862
2021-11-02,24,0.24,402.2785999999869
2021-11-03,24,0.24,347.3943999999901
2021-11-08,24,0.24,358.5807999999888
2021-11-09,24,0.24,322.7429999999913
2021-11-10,24,0.24,322.7429999999913
2021-11-11,24,0.24,326.7679999999891
2021-11-12,24,0.24,229.95619999998962
2021-11-15,24,0.24,288.0879999999888
2021-11-16,20,0.12,264.7368799999931
2021-11-17,20,0.12,354.33687999999165
2021-11-18,20,0.12,351.4618799999953
2021-11-22,22,0.22,371.5679999999884
2021-11-23,26,0.3,386.86669230768166
2021-11-24,20,0.12,425.52295999999114
2021-11-25,20,0.12,433.96279999999024
2021-11-26,14,0.16,494.76499999998487
2021-11-29,18,0.18,544.5183999999972
2021-11-30,14,0.14,521.8985333333221
2021-12-01,28,0.1,447.49776190475313
2021-12-02,28,0.1,429.0227619047582
2021-12-03,28,0.1,435.6030476190426
2021-12-06,24,0.1,471.98808333333
2021-12-07,24,0.1,478.66533333333064
2021-12-08,14,0.28,527.7169999999933
2021-12-09,24,0.1,528.225666666669
2021-12-10,14,0.28,531.3919999999962
2021-12-13,14,0.28,582.5919999999933
2021-12-14,14,0.28,649.7063999999918
2021-12-15,14,0.28,649.7063999999918
