Date,n,P,score_window
2021-09-24,16,0.28,174.0332499999895
2021-09-27,16,0.28,222.19158333332234
2021-09-28,18,0.1,179.30055555556464
2021-09-29,20,0.1,180.53575000001
2021-09-30,20,0.1,213.29691666666986
2021-10-01,12,0.1,296.7733333333308
2021-10-04,12,0.1,282.6441666666651
2021-10-05,12,0.1,268.97874999999476
2021-10-06,12,0.1,241.84166666666715
2021-10-07,12,0.1,338.47499999999854
2021-10-08,14,0.1,269.38630952380845
2021-10-11,16,0.28,258.2469166666451
2021-10-12,26,0.3,301.29032051279864
2021-10-13,26,0.3,301.29032051279864
2021-10-14,26,0.3,259.6739743589533
2021-10-18,26,0.3,260.373974358954
2021-10-19,26,0.3,248.31564102562697
2021-10-20,14,0.14,198.35283333333064
2021-10-21,18,0.18,324.1513333333278
2021-10-22,18,0.18,353.469833333329
2021-10-25,18,0.18,357.9008333333295
2021-10-26,24,0.24,276.6791666666577
2021-10-27,24,0.24,330.2541666666584
2021-10-28,24,0.24,295.3546666666589
2021-10-29,24,0.24,307.9654999999984
2021-11-01,24,0.24,287.9904999999926
2021-11-02,24,0.24,335.4769999999917
2021-11-03,12,0.28,313.63650000000416
2021-11-08,26,0.3,318.41903846153946
2021-11-09,26,0.3,270.4965384615389
2021-11-10,26,0.3,270.4965384615389
2021-11-11,26,0.3,278.1715384615345
2021-11-12,22,0.3,204.78977272727934
2021-11-15,24,0.24,232.53899999998976
2021-11-16,22,0.3,227.93977272727716
2021-11-17,28,0.1,310.76833333333343
2021-11-18,28,0.1,305.14333333333707
2021-11-22,22,0.3,337.0497727272741
2021-11-23,22,0.3,350.3084090909106
2021-11-24,28,0.1,378.65333333333547
2021-11-25,28,0.1,383.5981547619085
2021-11-26,18,0.18,434.5489999999918
2021-11-29,18,0.18,476.1319999999905
2021-11-30,14,0.16,473.6778571428513
2021-12-01,28,0.1,426.520238095236
2021-12-02,28,0.1,408.0452380952411
2021-12-03,28,0.1,413.5288095238102
2021-12-06,24,0.1,448.2374999999993
2021-12-07,24,0.1,453.8018749999974
2021-12-08,28,0.28,461.8704999999936
2021-12-09,24,0.1,463.3449999999975
2021-12-10,28,0.28,450.195499999998
2021-12-13,28,0.28,502.49549999999726
2021-12-14,14,0.28,552.2719999999972
2021-12-15,14,0.28,552.2719999999972
2021-12-16,14,0.28,550.3719999999994
2021-12-17,18,0.28,540.2914444444468
2021-12-20,18,0.28,521.1801111111126
2021-12-21,18,0.28,530.619999999999
2021-12-22,18,0.28,301.6200000000026
2021-12-23,20,0.3,296.4717500000115
2021-12-24,20,0.3,287.07175000001007
2021-12-27,16,0.1,184.8160416666724
2021-12-28,20,0.3,217.8165000000081
2021-12-29,20,0.14,383.4591666666711
2021-12-30,20,0.14,383.4591666666711
2021-12-31,20,0.14,290.32871666667415
2022-01-03,16,0.14,267.2996041666702
2022-01-04,16,0.14,257.8819791666683
2022-01-05,20,0.14,249.42316666667102
2022-01-06,20,0.14,241.6927166666719
2022-01-07,20,0.14,241.6927166666719
2022-01-10,30,0.16,242.34426666665968
2022-01-11,30,0.16,184.12759999999616
2022-01-12,30,0.16,184.12759999999616
2022-01-13,30,0.14,213.60066666667262
2022-01-14,30,0.16,207.37759999999616
2022-01-17,30,0.16,140.85139999999956
2022-01-18,30,0.16,103.50926666666783
2022-01-19,24,0.24,105.22850000000471
2022-01-20,24,0.24,148.99100000000544
2022-01-21,24,0.24,193.17150000000402
2022-01-24,24,0.24,325.32150000000183
2022-01-25,24,0.24,308.08899999999994
2022-01-27,24,0.24,381.0139999999992
2022-01-28,22,0.18,388.4146969697031
2022-01-31,22,0.18,453.77303030303665
2022-02-01,22,0.18,411.37303030303883
2022-02-02,22,0.18,255.5293484848553
2022-02-03,22,0.18,225.24866666667367
2022-02-04,22,0.18,229.33221212121862
2022-02-07,22,0.18,229.33221212121862
2022-02-08,22,0.18,267.6404090909127
2022-02-09,22,0.18,302.07754545454736
2022-02-10,22,0.18,302.07754545454736
2022-02-11,22,0.18,344.36754545454824
2022-02-14,26,0.1,330.88628205128407
2022-02-15,26,0.1,363.28012820512595
2022-02-16,22,0.18,391.29781818181436
2022-02-17,26,0.1,371.4151923076897
2022-02-18,22,0.18,328.1136818181767
2022-02-21,22,0.18,298.3790909090858
2022-02-22,26,0.18,192.07076923076238
2022-02-23,30,0.18,329.0913999999939
2022-02-24,18,0.16,319.38277777777694
2022-02-25,26,0.22,348.88762820512056
2022-02-28,28,0.1,337.79416666666293
2022-03-02,18,0.16,411.5884444444455
2022-03-03,16,0.18,465.99139583332726
2022-03-04,16,0.18,519.024270833328
2022-03-08,14,0.1,383.77619047619737
2022-03-09,16,0.18,533.501999999995
2022-03-10,30,0.18,545.3203999999987
2022-03-11,18,0.28,763.0201111111055
2022-03-14,18,0.28,763.0201111111055
2022-03-15,12,0.26,879.302416666671
2022-03-16,12,0.26,961.9780000000046
2022-03-17,12,0.26,945.4280000000053
2022-03-21,12,0.26,859.3000833333372
2022-03-22,12,0.26,894.2000833333386
2022-03-23,12,0.26,966.7790000000041
2022-03-24,12,0.26,950.0873333333348
2022-03-25,12,0.26,988.6206666666676
2022-03-28,26,0.3,864.0937179487173
2022-03-29,26,0.3,865.9520512820473
2022-03-30,14,0.28,789.4256666666606
2022-03-31,14,0.28,888.1256666666613
2022-04-01,30,0.3,915.8536666666605
2022-04-04,30,0.3,996.00316666666
2022-04-05,30,0.3,874.2081666666618
2022-04-06,30,0.3,874.2081666666618
2022-04-07,30,0.3,565.091499999995
2022-04-08,30,0.3,478.4564999999948
2022-04-11,18,0.26,279.96466666666674
2022-04-12,18,0.26,279.96466666666674
2022-04-13,22,0.16,209.6838484848413
2022-04-18,22,0.16,185.31503030302702
2022-04-19,22,0.16,217.77975757575405
2022-04-20,14,0.18,210.89759523809698
2022-04-21,22,0.16,188.18484848484513
2022-04-22,22,0.16,174.10121212120794
2022-04-25,22,0.16,216.3428787878729
2022-04-26,22,0.16,225.4595454545415
2022-04-27,22,0.16,322.3095454545437
2022-04-28,22,0.16,273.5095454545408
2022-04-29,22,0.16,303.3862727272681
2022-05-02,22,0.16,315.2112727272688
2022-05-04,22,0.16,368.97793939393523
2022-05-05,22,0.16,359.7699393939365
2022-05-06,20,0.1,312.2134166666692
2022-05-09,20,0.1,351.18841666666776
2022-05-10,20,0.1,467.2884166666663
2022-05-11,30,0.1,478.0620000000017
2022-05-12,30,0.1,473.50400000000263
2022-05-13,26,0.1,494.73108974359457
2022-05-16,30,0.26,348.79986666666446
2022-05-17,30,0.26,362.37486666666155
2022-05-18,30,0.26,525.2944666666608
2022-05-19,30,0.26,466.1685999999954
2022-05-20,18,0.26,463.9626666666609
2022-05-23,18,0.26,478.51688888888384
2022-05-24,18,0.26,478.51688888888384
2022-05-25,18,0.26,478.51688888888384
2022-05-26,18,0.26,547.0083888888839
2022-05-27,24,0.2,428.50291666666453
2022-05-30,24,0.2,390.42833333332965
