entry_time,side,entry_px,exit_time,exit_px,exit_reason,pnl_pts,ORH,ORL,PivotLow,PivotHigh,A_distance,TP_mult_A,Date,n_used,P_used,T,slippage,cost_pts
2024-01-23 10:06:00,short,21635.75,2024-01-23 10:06:00,21631.55,STOP,3.7000000000007276,21749.25,21700.5,21599.05,21631.05,18.892499999999988,1.0,2024-01-23,12,0.1,20,0.5,0.5
2024-01-24 09:54:00,long,21315.1,2024-01-24 09:54:00,21329.475,STOP,13.875,21270.15,21137.2,21329.975,21471.125,22.52458333333334,1.0,2024-01-24,12,0.1,20,0.5,0.5
2024-01-25 10:24:00,short,21294.85,2024-01-25 10:55:00,21272.236666666664,TARGET,22.113333333334594,21459.0,21372.05,21308.050000000003,21418.816666666666,23.113333333333355,1.0,2024-01-25,12,0.1,20,0.5,0.5
2024-01-29 10:44:00,long,21602.75,2024-01-29 10:57:00,21625.407916666667,TARGET,22.157916666667006,21560.35,21429.6,21353.025,21369.641666666663,23.157916666666676,1.0,2024-01-29,12,0.1,20,0.5,0.5
2024-01-30 14:13:00,short,21654.1,2024-01-30 14:26:00,21630.274583333332,TARGET,23.32541666666657,21813.05,21689.1,21596.25,21704.316666666666,24.325416666666722,1.0,2024-01-30,12,0.1,20,0.5,0.5
2024-01-31 10:14:00,long,21603.85,2024-01-31 10:32:00,21629.162916666664,TARGET,24.812916666665842,21548.1,21448.85,21569.975000000002,21657.425,25.812916666666723,1.0,2024-01-31,12,0.1,20,0.5,0.5
2024-02-02 11:23:00,long,22039.75,2024-02-02 11:31:00,22065.943333333333,TARGET,25.693333333332703,21963.45,21812.0,21712.716666666667,21745.85,26.693333333333403,1.0,2024-02-02,12,0.1,20,0.5,0.5
2024-02-06 13:35:00,long,21914.55,2024-02-06 15:25:00,21947.0,EOD,31.950000000000728,21844.6,21737.55,21793.575000000004,21845.625,66.9751875000001,1.0,2024-02-06,16,0.26,20,0.5,0.5
2024-02-07 11:30:00,short,21926.25,2024-02-07 11:30:00,21913.658333333333,STOP,12.091666666667152,22053.3,21975.9,21844.475,21913.158333333333,27.220000000000045,1.0,2024-02-07,12,0.1,20,0.5,0.5
2024-02-08 10:23:00,short,21914.65,2024-02-08 10:27:00,21957.225,STOP,-43.07499999999709,22011.05,21959.55,21945.97499999999,21956.725,28.032916666666708,1.0,2024-02-08,12,0.1,20,0.5,0.5
2024-02-12 10:29:00,short,21661.55,2024-02-12 13:01:00,21593.252375,TARGET,67.79762499999924,21831.7,21764.0,21717.175000000003,21757.25833333334,68.79762500000007,1.0,2024-02-12,16,0.26,20,0.5,0.5
2024-02-13 15:16:00,long,21757.85,2024-02-13 15:25:00,21736.7,EOD,-21.649999999997817,21678.05,21543.35,21655.74166666667,21703.225,68.84800000000006,1.0,2024-02-13,16,0.26,20,0.5,0.5
2024-02-14 13:07:00,long,21695.6,2024-02-14 13:31:00,21654.574999999997,STOP,-41.525000000001455,21600.65,21530.2,21655.074999999997,21709.824999999997,70.92556250000008,1.0,2024-02-14,16,0.26,20,0.5,0.5
2024-02-19 14:26:00,long,22184.85,2024-02-19 15:25:00,22124.75,EOD,-60.599999999998545,22107.6,22049.7,22018.800000000003,22025.300000000003,54.79799999999995,1.0,2024-02-19,12,0.24,20,0.5,0.5
